,epochs,total loss function,boarding losses train,nest_losses_train,alighting losses train,section constraint train,od flow equal constraint train f
121,121,367.2752193180713,176.57780400000001,27.102793318071296,163.594622,0.0,0.0
122,122,367.274650258919,176.57780400000001,27.10222425891895,163.594622,0.0,0.0
123,123,367.27410379560786,176.57780400000001,27.101677795607852,163.594622,0.0,0.0
124,124,367.2735530237865,176.57780400000001,27.10112702378652,163.594622,0.0,0.0
125,125,367.27304527198976,176.57780400000001,27.100619271989764,163.594622,0.0,0.0
126,126,367.27256880327764,176.57780400000001,27.10014280327761,163.594622,0.0,0.0
127,127,367.2720973596421,176.57780400000001,27.0996713596421,163.594622,0.0,0.0
128,128,367.27165806129875,176.57780400000001,27.099232061298743,163.594622,0.0,0.0
129,129,367.27122688694965,176.57780400000001,27.098800886949654,163.594622,0.0,0.0
130,130,367.2707889928622,176.57780400000001,27.09836299286225,163.594622,0.0,0.0
131,131,367.27037694144985,176.57780400000001,27.097950941449856,163.594622,0.0,0.0
132,132,367.2699626890818,176.57780400000001,27.097536689081796,163.594622,0.0,0.0
133,133,367.26956167754577,176.57780400000001,27.09713567754576,163.594622,0.0,0.0
134,134,367.2691885306565,176.57780400000001,27.096762530656477,163.594622,0.0,0.0
135,135,367.26881683107024,176.57780400000001,27.09639083107022,163.594622,0.0,0.0
136,136,367.2684706616669,176.57780400000001,27.09604466166696,163.594622,0.0,0.0
137,137,367.26813330806885,176.57780400000001,27.095707308068864,163.594622,0.0,0.0
138,138,367.26780020030367,176.57780400000001,27.09537420030371,163.594622,0.0,0.0
139,139,367.26748306503225,176.57780400000001,27.09505706503227,163.594622,0.0,0.0
140,140,367.2671649811532,176.57780400000001,27.094738981153203,163.594622,0.0,0.0
141,141,367.2668609132952,176.57780400000001,27.094434913295217,163.594622,0.0,0.0
142,142,367.2665654114571,176.57780400000001,27.09413941145715,163.594622,0.0,0.0
143,143,367.26627855345555,176.57780400000001,27.093852553455584,163.594622,0.0,0.0
144,144,367.2660089810636,176.57780400000001,27.09358298106354,163.594622,0.0,0.0
145,145,367.2657505551049,176.57780400000001,27.093324555104882,163.594622,0.0,0.0
146,146,367.265501034772,176.57780400000001,27.093075034771974,163.594622,0.0,0.0
